CompetitionID,Arme,Sexe,Domaine,Federation,Categorie,Date,TitreCourt,TitreLong,CompetitionType,FileName
558,E,F,I,FIN,C,31.01.2015,EFC-eq,"Cadet Circuit, Women's Team Epee",Team,1136.xml
1,S,F,I,GBR,C,13:15,WTS,Women's Cadet Team Sabre,Team,1141.xml
1,S,M,I,GBR,C,,MTS,Men's Cadet Team Sabre,Team,1142.xml
557,E,M,I,FIN,C,31.01.2015,EMC-eq,"Cadet Circuit, Men's Team Epee",Team,1143.xml
100,F,M,I,POL,C,07.02.2015,2015-02-07,Cadet Circuit,Individual,1144.xml
98,F,F,,ROU,C,07.02.2015,FFC-in,Cadet Circuit,Individual,1145.xml
101,F,M,I,POL,C,08.02.2015,2015-02-08-T,Cadet Circuit - VI GOLDEN TEAM CUP,Team,1146.xml
553,S,F,,FRA,,07.02.2015,SFU-in,U23 European Circuit,Individual,1147.xml
552,S,M,,FRA,,07.02.2015,SMU-in,U23 European Circuit,Individual,1148.xml
545,S,F,I,GEO,C,08.02.2015,SFC-in,Cadet Circuit SFC,Individual,1150.xml
1181,E,M,I,ITA,S,31.01.2015,EMS-in,Tournoi satellite,Individual,1151.xml
510,E,F,,ITA,,31.01.2015,EFU-in,U23 European Circuit,Individual,1154.xml
544,S,M,I,GEO,C,07.02.2015,SMC-in,Cadet Circuit SMC,Individual,1155.xml
550,S,F,I,GEO,C,07.02.2015,SFC-eq,Cadet Circuit SFC-eq,Team,1156.xml
549,S,M,I,GEO,C,08.02.2015,SMC-eq,Cadet Circuit SMC-eq,Team,1157.xml
99,F,F,,ROU,C,07.02.2015,FFC-eq,Cadet Circuit,Team,1158.xml
1,F,M,I,,S,14.02.2015,Sokol Cup 2015,muzi,Individual,1159.xml
460,F,F,,CZE,S,14.02.2015,U23 European Circuit FF,U23 European Circuit FF,Individual,1160.xml
135,F,M,I,SLO,C,24.02.2015,,2015 European Junior/Cadet Championships,Individual,1161.xml
136,S,F,I,SLO,C,24.02.2015,,2015 European Junior/Cadet Championships,Individual,1162.xml
133,E,M,I,SLO,C,25.02.2015,,2015 European Junior/Cadet Championships,Individual,1163.xml
134,F,F,I,SLO,C,25.02.2015,,2015 European Junior/Cadet Championships,Individual,1165.xml
132,E,F,I,SLO,C,26.02.2015,,2015 European Junior/Cadet Championships,Individual,1166.xml
137,S,M,I,SLO,C,26.02.2015,,2015 European Junior/Cadet Championships,Individual,1167.xml
139,E,M,I,SLO,C,27.02.2015,,2015 European Junior/Cadet Championships,Team,1168.xml
142,S,F,I,SLO,C,27.02.2015,,2015 European Junior/Cadet Championships,Team,1169.xml
141,F,M,I,SLO,C,27.02.2015,,2015 European Junior/Cadet Championships,Team,1170.xml
138,E,F,I,SLO,C,28.02.2015,,2015 European Junior/Cadet Championships,Team,1171.xml
140,F,F,I,SLO,C,28.02.2015,,2015 European Junior/Cadet Championships,Team,1172.xml
143,S,M,I,SLO,C,28.02.2015,,2015 European Junior/Cadet Championships,Team,1173.xml
352,F,M,I,SLO,J,01.03.2015,,2015 European Junior/Cadet Championships,Individual,1174.xml
353,S,F,I,SLO,J,01.03.2015,,2015 European Junior/Cadet Championships,Individual,1175.xml
350,E,M,I,SLO,J,02.03.2015,,2015 European Junior/Cadet Championships,Individual,1176.xml
351,F,F,I,SLO,J,02.03.2015,,2015 European Junior/Cadet Championships,Individual,1177.xml
349,E,F,I,SLO,J,03.03.2015,,2015 European Junior/Cadet Championships,Individual,1178.xml
354,S,M,I,SLO,J,03.03.2015,,2015 European Junior/Cadet Championships,Individual,1179.xml
447,E,F,,ITA,,15.01.2011,European U23 Circuit,European U23 Circuit,Individual,118.xml
356,E,M,I,SLO,J,04.03.2015,,2015 European Junior/Cadet Championships,Team,1180.xml
358,F,M,I,SLO,J,04.03.2015,,2015 European Junior/Cadet Championships,Team,1181.xml
359,S,F,I,SLO,J,04.03.2015,,2015 European Junior/Cadet Championships,Team,1182.xml
357,F,F,I,SLO,J,05.03.2015,,2015 European Junior/Cadet Championships,Team,1183.xml
355,E,F,I,SLO,J,05.03.2015,,2015 European Junior/Cadet Championships,Team,1184.xml
360,S,M,I,SLO,J,05.03.2015,,2015 European Junior/Cadet Championships,Team,1185.xml
439,F,F,,ITA,,21.03.2015,FFU-in,U23 European Circuit,Individual,1186.xml
68,F,F,,,,21.03.2015,U23 European Circuit,,Individual,1187.xml
518,S,M,,ITA,,21.03.2015,SMU-in,U23 European Circuit,Individual,1188.xml
438,F,M,,ITA,,21.03.2015,FMU-in,U23 European Circuit,Individual,1189.xml
446,E,M,,ITA,,16.01.2011,European U23 Circuit,European U23 Circuit,Individual,119.xml
535,S,F,,AUT,S,21.03.2015,IM Wien 2015 U23 EC DS,IM Wien 2015 U23 European Circuit Damensabel,Individual,1190.xml
534,S,M,,AUT,S,21.03.2015,IM Wien 2015 HS U23 EC,IM Wien 2015 Herrensabel U23 EC,Individual,1191.xml
1226,S,F,I,ITA,S,22.03.2015,SFS-in,Tournoi satellite,Individual,1192.xml
458,F,F,,HUN,S,28.03.2015,FFU-in,U23 European Circuit Women's foil competition,Individual,1194.xml
513,E,F,I,POL,S,19.04.2015,2015-04-19,Puchar Polski IV / Puchar Europy U23    ,Individual,1195.xml
499,E,M,,POL,J,18.04.2015,U23 European Circuit,U23 European Circuit,Individual,1196.xml
116,F,F,,ITA,B,22.04.2015,FFU-in,U23 European Championships,Individual,1197.xml
118,S,F,,ITA,B,22.04.2015,SFU-in,U23 European Championships,Individual,1198.xml
490,S,F,,ITA,B,22.04.2015,SFU-eq,U23 European Championships Sabre,Team,1199.xml
742,S,F,I,GER,S,19.07.2010,,Championnats d'Europe,Individual,12.xml
91,S,M,,GBR,C,29.01.2011,Men's Cadet Sabre,Men's Cadet Sabre,Individual,120.xml
115,E,M,,ITA,B,22.04.2015,EMU-in,U23 European Championships,Individual,1200.xml
